"White population","Black population","Grey population","Global temperature"
"300","0","0","68.43279119911398"
"299","0","0","68.5506667282577"
"299","0","0","68.64607720368029"
"299","0","0","68.70137366244509"
"299","0","0","68.7322720909348"
"299","0","0","68.74922653565287"
"299","0","0","68.7584383424334"
"298","0","0","68.76341450444514"
"298","0","0","68.80591051711026"
"297","0","0","68.82850167944838"
"296","0","0","68.88026593994772"
"296","0","0","68.94752277855112"
"296","0","0","68.98320896444638"
"295","0","0","69.00213422080984"
"292","0","0","69.05198242585038"
"292","0","0","69.13430792425208"
"291","0","0","69.13461183537962"
"289","0","0","69.12583576579314"
"289","0","0","69.15043729781196"
"287","0","0","69.112594756827"
"286","0","0","69.12099458347654"
"285","0","0","69.11402256831117"
"284","0","0","69.0987957039296"
"284","0","0","69.07909955848169"
"283","0","0","69.0171346756631"
"283","0","0","68.97239790464687"
"283","0","0","68.89692273183682"
"283","0","0","68.80506476155689"
"282","0","0","68.70444905683865"
"282","0","0","68.63893799618776"
"281","0","0","68.55219277548125"
"281","0","0","68.49391521318076"
"281","0","0","68.41087180753924"
"281","0","0","68.31459861776605"
"281","0","0","68.21122334912877"
"281","0","0","68.10400080223327"
"280","0","0","67.99465970061333"
"280","0","0","67.92393581336945"
"280","0","0","67.8338343686592"
"280","0","0","67.73336309377491"
"277","0","0","67.6273013228759"
"277","0","0","67.62593346105172"
"277","0","0","67.58034515804157"
"276","0","0","67.50568239209323"
"276","0","0","67.45365199534075"
"276","0","0","67.3732200824714"
"276","0","0","67.27744571659898"
"276","0","0","67.1733821098439"
"276","0","0","67.06481560007171"
"277","0","0","66.95377139113289"
"276","0","0","66.80151246861578"
"275","0","0","66.69988780812953"
"277","0","0","66.62266845546964"
"277","0","0","66.45907629652326"
"275","0","0","66.32197133423597"
"276","0","0","66.26217262846447"
"276","0","0","66.13900300188281"
"276","0","0","66.02054552229485"
"276","0","0","65.90393435307583"
"276","0","0","65.78798675676207"
"276","0","0","65.67221466889411"
"276","0","0","65.55641571047417"
"275","0","0","65.44050535667988"
"275","0","0","65.35723901438968"
"276","0","0","65.25602419614532"
"276","0","0","65.1139238185317"
"275","0","0","64.98577010303833"
"276","0","0","64.89173268943154"
"275","0","0","64.75533044469785"
"275","0","0","64.67029492150516"
"273","0","0","64.56389434511767"
"275","0","0","64.52272326555281"
"276","0","0","64.37684864354965"
"276","0","0","64.20785898213494"
"275","0","0","64.06399989524996"
"276","0","0","63.97247947359248"
"275","0","0","63.828087726186"
"274","0","0","63.728861145626844"
"277","0","0","63.65106474478014"
"277","0","0","63.44536687878531"
"276","0","0","63.28385792742736"
"277","0","0","63.176189936089294"
"277","0","0","63.02786002998296"
"276","0","0","62.894771249830846"
"277","0","0","62.796679416924675"
"276","0","0","62.65670441791269"
"276","0","0","62.56131451951615"
"276","0","0","62.45258450543276"
"277","0","0","62.33764306912535"
"277","0","0","62.1868739759819"
"277","0","0","62.05232664083929"
"278","0","0","61.92484153615945"
"277","0","0","61.760682918328904"
"277","0","0","61.64468132599264"
"278","0","0","61.533968032895906"
"278","0","0","61.37996422155603"
"276","0","0","61.241884620786614"
"277","0","0","61.177222421032276"
"278","0","0","61.04800002197088"
"279","0","0","60.889725917325684"
"278","0","0","60.71082105528516"
"279","0","0","60.59882002793718"
"278","0","0","60.44137960816945"
"278","0","0","60.332961370290306"
"279","0","0","60.21520209741586"
"280","0","0","60.06096706024226"
"277","0","0","59.88314707320591"
"277","0","0","59.83657057947118"
"280","0","0","59.74891280835579"
"278","0","0","59.53640475257216"
"280","0","0","59.430144404952415"
"279","0","0","59.24925163470559"
"279","0","0","59.13196052706717"
"277","0","0","59.01011274899422"
"276","0","0","58.95177598909939"
"278","0","0","58.89663013208202"
"281","0","0","58.733753942823704"
"281","0","0","58.484279558734045"
"281","0","0","58.29783103743617"
"282","0","0","58.12963521432615"
"281","0","0","57.94968893167862"
"280","0","0","57.83003979657771"
"279","0","0","57.73806650848468"
"282","0","0","57.652173043063776"
"281","0","0","57.44229764223712"
